"","Name","classId","MeshClass"
"1","lepirudin","D000991","Antithrombins"
"2","lepirudin","D005343","Fibrinolytic Agents"
"3","cetuximab","D000970","Antineoplastic Agents"
"4","Etanercept","D000894","Anti-Inflammatory Agents, Non-Steroidal"
"5","Etanercept","D005765","Gastrointestinal Agents"
"6","Etanercept","D007155","Immunologic Factors"
"7","Etanercept","D007166","Immunosuppressive Agents"
"8","Etanercept","D018501","Antirheumatic Agents"
"9","bivalirudin","D000991","Antithrombins"
"10","Leuprolide","D005300","Fertility Agents, Female"
"11","Leuprolide","D018931","Antineoplastic Agents, Hormonal"
"12","Alteplase","D005343","Fibrinolytic Agents"
"13","Goserelin","D018931","Antineoplastic Agents, Hormonal"
"14","Reteplase","D005343","Fibrinolytic Agents"
"15","Secretin","D005765","Gastrointestinal Agents"
"16","Secretin","D006728","Hormones"
"17","ASPARAGINASE","D000970","Antineoplastic Agents"
"18","Thyrotropin","V04CJ","Tests for thyreoidea function"
"19","anakinra","D018501","Antirheumatic Agents"
"20","Gramicidin","D000891","Anti-Infective Agents, Local"
"21","Gramicidin","D000900","Anti-Bacterial Agents"
"22","Gramicidin","R02AB","Antibiotics"
"23","Gramicidin","N0000000999","Drug Hypersensitivity"
"24","Gramicidin","N0000003324","Eye Infections, Bacterial"
"25","Gramicidin","N0000006132","Gramicidin"
"26","Gramicidin","N0000000150","Protein Synthesis Inhibitors"
"27","Gramicidin","N0000008841","Decreased Protein Synthesis"
"28","Anistreplase","D005343","Fibrinolytic Agents"
"29","Insulin","D007004","Hypoglycemic Agents"
"30","Insulin","N0000000952","Diabetes Mellitus, Type 1"
"31","Insulin","N0000000954","Diabetes Mellitus, Type 2"
"32","Insulin","N0000000999","Drug Hypersensitivity"
"33","Insulin","N0000001586","Hyperglycemia"
"34","Insulin","N0000004931","Insulin"
"35","Insulin","N0000000225","Insulin Receptor Agonists"
"36","Insulin","N0000008651","Decreased Glycogenolysis"
"37","Insulin","N0000008688","Decreased Lipolysis"
"38","Insulin","N0000009341","Increased Glucose Transport into Cells"
"39","Insulin","N0000009344","Increased Glycogenesis"
"40","Insulin","N0000009379","Increased Lipogenesis"
"41","Insulin","N0000009533","Increased Protein Synthesis"
"42","Tenecteplase","D005343","Fibrinolytic Agents"
"43","Menotropins","D005300","Fertility Agents, Female"
"44","desmopressin","D006490","Hemostatics"
"45","desmopressin","D050034","Antidiuretic Agents"
"46","Oprelvekin","D000970","Antineoplastic Agents"
"47","Glucagon","D005765","Gastrointestinal Agents"
"48","Glucagon","D006728","Hormones"
"49","Glucagon","H04AA","Glycogenolytic hormones"
"50","Glucagon","N0000000379","Anaphylaxis"
"51","Glucagon","N0000000600","Bradycardia"
"52","Glucagon","N0000000999","Drug Hypersensitivity"
"53","Glucagon","N0000001320","Gastrointestinal Diseases"
"54","Glucagon","N0000001635","Hypoglycemia"
"55","Glucagon","N0000001649","Hypotension"
"56","Glucagon","N0000002729","Shock, Cardiogenic"
"57","Glucagon","N0000006364","Glucagon"
"58","Glucagon","N0000010275","Glucagon Receptor Interactions"
"59","Glucagon","N0000008635","Decreased GI Motility"
"60","Glucagon","N0000008636","Decreased GI Smooth Muscle Tone"
"61","Glucagon","N0000009340","Increased Gluconeogenesis"
"62","Glucagon","N0000009345","Increased Glycogenolysis"
"63","Glucagon","N0000009808","Positive Chronotropy"
"64","Glucagon","N0000009809","Positive Inotropy"
"65","Aldesleukin","D000970","Antineoplastic Agents"
"66","Aldesleukin","D019380","Anti-HIV Agents"
"67","omalizumab","D018926","Anti-Allergic Agents"
"68","omalizumab","D018927","Anti-Asthmatic Agents"
"69","Insulin","D007004","Hypoglycemic Agents"
"70","Insulin","N0000000952","Diabetes Mellitus, Type 1"
"71","Insulin","N0000000954","Diabetes Mellitus, Type 2"
"72","Insulin","N0000000999","Drug Hypersensitivity"
"73","Insulin","N0000001586","Hyperglycemia"
"74","Insulin","N0000004931","Insulin"
"75","Insulin","N0000000225","Insulin Receptor Agonists"
"76","Insulin","N0000008651","Decreased Glycogenolysis"
"77","Insulin","N0000008688","Decreased Lipolysis"
"78","Insulin","N0000009341","Increased Glucose Transport into Cells"
"79","Insulin","N0000009344","Increased Glycogenesis"
"80","Insulin","N0000009379","Increased Lipogenesis"
"81","Insulin","N0000009533","Increased Protein Synthesis"
"82","Insulin","D007004","Hypoglycemic Agents"
"83","Insulin","N0000000952","Diabetes Mellitus, Type 1"
"84","Insulin","N0000000954","Diabetes Mellitus, Type 2"
"85","Insulin","N0000000999","Drug Hypersensitivity"
"86","Insulin","N0000001586","Hyperglycemia"
"87","Insulin","N0000004931","Insulin"
"88","Insulin","N0000000225","Insulin Receptor Agonists"
"89","Insulin","N0000008651","Decreased Glycogenolysis"
"90","Insulin","N0000008688","Decreased Lipolysis"
"91","Insulin","N0000009341","Increased Glucose Transport into Cells"
"92","Insulin","N0000009344","Increased Glycogenesis"
"93","Insulin","N0000009379","Increased Lipogenesis"
"94","Insulin","N0000009533","Increased Protein Synthesis"
"95","Rasburicase","D006074","Gout Suppressants"
"96","cetrorelix","D005300","Fertility Agents, Female"
"97","cetrorelix","D006727","Hormone Antagonists"
"98","adalimumab","D000893","Anti-Inflammatory Agents"
"99","adalimumab","D018501","Antirheumatic Agents"
"100","Somatropin","H01AC","Somatropin and somatropin agonists"
"101","Somatropin","N0000000609","Brain Neoplasms"
"102","Somatropin","N0000000641","Cachexia"
"103","Somatropin","N0000000999","Drug Hypersensitivity"
"104","Somatropin","N0000001012","Dwarfism"
"105","Somatropin","N0000001434","Heart Failure"
