dbid,Name
DB06717,"Fosaprepitant
"
DB06717," Emend
"
DB00812,"Phenylbutazone
"
DB00812,"Esteve
"
DB00812," Alindor
"
DB00812," Alka Butazolidin
"
DB00812," Alkabutazona
"
DB00812," Alqoverin
"
DB00812," Anerval
"
DB00812," Anpuzone
"
DB00812," Antadol
"
DB00812," Anuspiramin
"
DB00812," Apo-Phenylbutazone
"
DB00812," Arthrizon
"
DB00812," Artizin
"
DB00812," Artrizin
"
DB00812," Artrizone
"
DB00812," Artropan
"
DB00812," Azdid
"
DB00812," Azobutyl
"
DB00812," Azolid
"
DB00812," B.T.Z.
"
DB00812," Benzone
"
DB00812," Betazed
"
DB00812," Bizolin
"
DB00812," Bizolin 200
"
DB00812," Bunetzone
"
DB00812," Busone
"
DB00812," Buta Phen
"
DB00812," Butacompren
"
DB00812," Butacote
"
DB00812," Butadion
"
DB00812," Butadiona
"
DB00812," Butadione
"
DB00812," Butagesic
"
DB00812," Butalgina
"
DB00812," Butalidon
"
DB00812," Butaluy
"
DB00812," Butapirazol
"
DB00812," Butapirazole
"
DB00812," Butapyrazole
"
DB00812," Butarecbon
"
DB00812," Butartril
"
DB00812," Butartrina
"
DB00812," Butatron
"
DB00812," Butazina
"
DB00812," Butazolidin
"
DB00812," Butazolidine
"
DB00812," Butazona
"
DB00812," Bute
"
DB00812," Butidiona
"
DB00812," Butiwas-Simple
"
DB00812," Butone
"
DB00812," Butoz
"
DB00812," Butylpyrin
"
DB00812," Buvetzone
"
DB00812," Buzon
"
DB00812," Chembutazone
"
DB00812," Cotylbutazone
"
DB00812," Digibutina
"
DB00812," Diossidone
"
DB00812," Diozol
"
DB00812," Diphebuzol
"
DB00812," Diphenylbutazone
"
DB00812," Ecobutazone
"
DB00812," Elmedal
"
DB00812," Equi Bute
"
DB00812," Equipalazone
"
DB00812," Eributazone
"
DB00812," Exrheudon N
"
DB00812," Febuzina
"
DB00812," Fenartil
"
DB00812," Fenibutal
"
DB00812," Fenibutasan
"
DB00812," Fenibutazona
"
DB00812," Fenibutol
"
DB00812," Fenilbutazona
"
DB00812," Fenilbutina
"
DB00812," Fenilbutine
"
DB00812," Fenilidina
"
DB00812," Fenotone
"
DB00812," Fenylbutazon
"
DB00812," Ia-But
"
DB00812," Intalbut
"
DB00812," Intrabutazone
"
DB00812," Intrazone
"
DB00812," Ipsoflame
"
