dbid,atc_code
DB00014,L
DB00035,H
DB00050,H
DB00091,S
DB00091,L
DB00104,H
DB00175,C
DB00176,N
DB00177,C
DB00178,C
DB00179,L
DB00180,R
DB00181,M
DB00182,N
DB00183,V
DB00184,A
DB00184,C
DB00184,N
DB00185,N
DB00186,N
DB00187,C
DB00188,L
DB00189,N
DB00191,A
DB00193,N
DB00194,S
DB00194,J
DB00195,S
DB00195,C
DB00196,J
DB00196,D
DB00197,A
DB00198,J
DB00199,J
DB00199,S
DB00199,D
DB00200,V
DB00200,B
DB00201,N
DB00202,M
DB00203,G
DB00204,C
DB00205,P
DB00206,C
DB00207,S
DB00207,J
DB00208,B
DB00209,G
DB00210,D
DB00211,C
DB00212,C
DB00213,A
DB00214,C
DB00215,N
DB00216,N
DB00217,C
DB00218,S
DB00218,J
DB00219,A
DB00220,J
DB00221,R
DB00222,A
DB00223,D
DB00224,J
DB00225,V
DB00227,C
DB00228,N
DB00229,J
DB00230,N
DB00231,N
DB00232,C
DB00233,J
DB00234,N
DB00235,C
DB00236,L
DB00238,J
DB00239,G
DB00239,D
DB00240,S
DB00240,D
DB00242,L
DB00243,C
DB00244,A
DB00245,N
DB00246,N
DB00247,N
DB00248,N
DB00248,G
DB00249,J
DB00249,S
DB00249,D
DB00250,D
DB00250,J
DB00251,G
DB00252,N
DB00253,S
DB00254,J
DB00254,A
DB00255,G
DB00255,L
DB00256,J
DB00257,D
DB00257,G
DB00257,A
DB00258,A
DB00259,D
DB00259,J
DB00260,J
DB00261,L
DB00262,L
DB00263,S
DB00263,J
DB00264,C
DB00266,B
DB00267,J
DB00268,N
DB00269,G
DB00270,C
DB00271,V
DB00272,V
DB00273,N
DB00274,J
DB00275,C
DB00276,L
DB00277,R
DB00278,B
DB00279,H
DB00280,C
DB00281,A
DB00281,C
DB00281,D
DB00281,N
DB00281,R
DB00281,S
DB00282,M
DB00283,D
DB00283,R
DB00284,A
DB00285,N
DB00286,G
DB00287,S
DB00288,D
DB00289,N
DB00290,L
DB00291,L
DB00292,N
DB00293,L
DB00294,G
DB00295,D
DB00295,N
DB00295,R
DB00295,S
DB00295,G
DB00296,N
DB00297,N
DB00298,S
DB00299,J
DB00299,D
DB00300,J
DB00301,J
DB00302,B
DB00303,J
DB00304,G
DB00305,L
DB00306,N
DB00307,L
DB00308,C
DB00309,L
DB00310,C
DB00312,N
DB00313,N
DB00314,J
DB00315,N
DB00316,N
DB00317,L
DB00318,R
DB00318,N
DB00319,J
DB00320,N
DB00321,N
DB00323,N
DB00324,D
DB00324,S
DB00324,C
DB00325,C
DB00326,A
DB00327,N
DB00328,C
DB00328,M
